timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp_c
1878,352,96,17132,-109,150,-38,24.4829
23632,176,52,17400,-113,155,-5,24.4359
45351,268,92,17344,-113,137,-37,24.4829
67060,268,36,17196,-128,135,-16,24.4829
88767,284,36,17232,-109,149,-58,24.4359
110490,236,136,17268,-111,160,-60,24.53
132197,324,16,17184,-114,135,-73,24.53
153904,376,160,17280,-104,154,-17,24.3888
175662,204,100,17352,-115,151,-23,24.4829
197367,276,84,17208,-116,139,-26,24.4359
219063,220,-52,17280,-102,145,-42,24.4359
240781,324,80,17264,-112,167,-68,24.4359
262488,240,-76,17324,-133,138,-54,24.5771
284192,304,88,17308,-111,147,-64,24.4829
305893,284,28,17240,-116,120,-55,24.4829
327593,300,-16,17304,-105,142,-49,24.3888
349288,352,76,17360,-102,138,-58,24.53
370991,280,64,17284,-132,155,-28,24.6241
392684,368,92,17404,-116,142,-12,24.4359
414381,268,60,17140,-123,141,-49,24.4359
436082,176,32,17244,-120,160,-42,24.4829
457781,228,-16,17388,-108,145,-38,24.4829
479471,236,72,17360,-112,154,-26,24.3888
501174,324,88,17176,-125,166,-51,24.4829
522868,296,16,17300,-108,157,-19,24.4829
544557,372,64,17276,-130,151,-38,24.53
566246,188,80,17200,-128,151,-54,24.4359
587934,272,-20,17212,-107,136,-9,24.53
609636,268,12,17184,-116,139,-43,24.4829
631331,356,48,17300,-97,158,-59,24.3888
653032,196,44,17232,-116,161,-25,24.3888
674759,304,36,17328,-127,126,-38,24.4359
696468,280,-32,17316,-103,150,-62,24.4359
718155,248,4,17292,-125,173,-36,24.53
739843,276,68,17364,-124,125,-49,24.4359
761530,348,48,17404,-119,128,-76,24.4359
783216,252,156,17240,-113,147,-45,24.4829
804908,244,48,17396,-98,153,-31,24.4829
826613,268,-52,17340,-131,125,-76,24.4829
848298,364,-12,17112,-116,155,-80,24.5771
869990,288,88,17432,-110,167,-30,24.4359
891679,312,72,17328,-120,145,-19,24.4359
913364,204,16,17200,-123,156,-17,24.4359
